id,suggested_intensity,confidence,reasons,category,tags,raw_score,text
1,2,LOW,sınıra-yakın,resilience,resilience|peace,1.65,"However long the night, the dawn will break."
15,3,LOW,sınıra-yakın,suffering,resilience|wisdom|peace,2.50,Suffering ceases to be suffering at the moment it finds a meaning.
19,2,LOW,sınıra-yakın,suffering,resilience|peace|wisdom,2.35,The wound is the place where the light enters you.
22,2,LOW,sınıra-yakın,resilience,discipline|peace,1.50,Sabreden derviş muradına ermiş. Sen sabredemediğin için yerinde sayıyorsun.
30,2,LOW,sınıra-yakın,fire,peace|legacy|discipline,1.60,The way of the warrior is resolute acceptance of death.
31,2,LOW,sınıra-yakın,resilience,resilience|peace,1.50,"You can cut all the flowers, but you cannot stop the spring from coming."
34,3,LOW,sınıra-yakın,discipline,discipline|reckoning,2.50,"Ağaç yaşken eğilir. Sen büyüdün ama hâlâ eğilmedin, eğitmedin kendini."
35,2,LOW,sınıra-yakın,discipline,discipline|motivation,2.40,Great things come from hard work and perseverance. No excuses.
44,2,LOW,sınıra-yakın,discipline,focus|peace,1.50,Confine yourself to the present.
46,3,LOW,sınıra-yakın,discipline,discipline|reckoning,2.50,I have nothing in common with lazy people who blame others for their lack of success.
78,2,LOW,sınıra-yakın,discipline,discipline|legacy|wisdom,1.50,"A true man does not look at which side he sleeps better on, but on which side lies the duty."
87,2,LOW,sınıra-yakın,discipline,discipline|motivation,2.40,"Strength is life, weakness is death. Choose every single morning."
88,2,LOW,sınıra-yakın,fire,resilience|wisdom|legacy,1.50,Mum olmak kolay değildir; ışık saçmak için önce yanmak gerekir.
92,3,LOW,sınıra-yakın,discipline,focus|reckoning|discipline,2.50,Do every act of your life as if it were your last.
103,3,LOW,sınıra-yakın,discipline,focus|reckoning|discipline,2.65,"Stop drifting. You are not going to reread your notebooks, your old battles, the histories you collected for old age."
104,2,LOW,sınıra-yakın,wisdom,focus|discipline|reckoning,1.50,"Yuvarlanan taş yosun tutmaz. Ama bir yere de varmaz, bir kök de salmaz; sen dur ve kazı."
114,2,LOW,sınıra-yakın,legacy,discipline|motivation|reckoning,2.45,Tomorrow belongs to those who prepare for it today; the rest only watch it pass.
116,3,LOW,sınıra-yakın,fire,discipline|reckoning,2.50,"Ateş düştüğü yeri yakar. Tembelliğin ateşi en çok seni yakar, başkasını değil."
